country_name,country_code,counterpart_area,Y_2004,y_2005,y_2006,y_2007,y_2008,y_2009,y_2010,y_2011,y_2012,y_2013,y_2014,y_2015,y_2016,y_2017,y_2018,y_2019,y_2020,y_2021,y_2022,y_2023,y_2024
Guinea,GIN,World,3.48,3.13,1.47,1.42,1.74,12.84,9.31,29.6,57.09,50.88,53.45,32.51,37.92,41.02,47.94,38.96,36.41,45.04,41.07,35.27,
Guinea-Bissau,GNB,World,6.41,7.76,7.79,10.28,11.26,14.88,14.26,79.12,59.65,64.33,87.54,84.22,91.22,90.63,0,0,0,0,0,0,
Guyana,GUY,World,16.98,20.36,24.07,36.88,35.93,44.22,55.53,39.96,43.77,37.17,33.69,36.71,37.53,36.96,32.9,37.67,45.17,42.91,45.04,30.32,
Haiti,HTI,World,14.68,16.37,25.9,36.27,35.85,75.43,201.67,247.88,190.01,155.74,100.46,90.79,96.03,106.74,102.43,106.36,111.73,94.35,84.85,98.09,
Honduras,HND,World,31.91,45.23,66.26,84.57,70.87,55.02,67.41,63.01,49.78,43.78,46.89,49.18,50.04,53.81,51.97,58.88,73.49,69.29,66.54,58.84,
India,IND,World,105.46,112.24,110.39,134.21,111.85,107.16,102.52,89.09,75.86,69.33,70.56,73.42,78.97,80.1,76,82.03,103.73,103.56,91.42,96.24,
Indonesia,IDN,World,26.3,24.44,31.32,38.51,32.7,36.85,48.52,50.15,44.64,37.7,38.24,34.41,36.47,36.81,31.76,32.1,32.58,34.68,34.65,36.05,
"Iran, Islamic Rep.",IRN,World,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Iraq,IRQ,World,0,0,0,0,0,0,0,0,0,0,0,282.19,194.13,175.61,232.81,247.44,206.66,253.21,426.89,552.03,
Jamaica,JAM,World,28.33,32.92,28.68,17.85,16.99,18.67,17.63,15.97,14.01,14.11,17.57,20.73,23.5,25.93,20.15,25.1,27.84,30.21,28.61,31.72,
Jordan,JOR,World,42.23,42.79,50.37,53.35,64.54,85.07,80.77,69.26,48.25,60.1,66.5,64.73,57.32,51.78,45.59,45.92,44.52,45.55,44.06,42.69,
Kazakhstan,KAZ,World,27.91,16.12,25.7,18.32,18.62,21.16,23.73,23.59,20.82,16.45,18.49,18.16,18.14,19.31,19.67,18.18,22.07,21.31,21.79,22.04,
Kenya,KEN,World,21.97,27.67,35.96,44.29,37.43,44.84,48.63,42.47,48.27,47.9,46.56,37.98,35.87,27.18,25.97,26.07,21.81,23.03,19.18,17.11,
Kosovo,XKX,World,492.55,415.19,565.57,179.5,131.41,48.12,47.81,36.88,47.77,43.08,37.22,36.64,30.02,32.73,37.89,39.95,35.47,37.19,34.09,29.36,
Kyrgyz Republic,KGZ,World,22.04,27.14,31.48,40.88,33.76,38.48,41.77,33.41,34.23,32.84,26.87,23.03,24.7,26.78,26.41,28.68,32.39,32.87,28.71,32,
Lao PDR,LAO,World,8.44,7.85,9.38,11.29,11.74,11.33,12.46,10.9,11.28,9.27,9.38,9.17,6.7,7.36,6.07,5.73,8.92,10.03,8.24,8.7,
Lebanon,LBN,World,69.03,72.95,79.19,79.26,64.25,84.88,93.11,96.93,94.21,77.05,78.35,71.25,77.75,74.72,65.7,70.52,61.45,52.39,48.38,50.86,
Lesotho,LSO,World,64.84,77.91,100.15,146.28,138.78,195.98,188.56,111.1,110.54,114.61,118.55,104.71,68.13,43.72,49.78,48.89,42.03,43.54,42.63,48.1,
Liberia,LBR,World,0.49,0.64,1.72,3.16,5.09,20.13,105.53,113.02,117.86,111.11,73.22,66.96,61.67,52.41,28.69,23.45,23.32,37.91,31.49,0,
Madagascar,MDG,World,13.16,13.65,38.19,36.3,38.78,34.5,37.12,39.57,35.17,26.39,26.11,27.66,39.76,47.3,46.76,41.86,40.91,43.68,36.38,40.79,
Malawi,MWI,World,3.73,4.98,15.43,24.99,24.46,14.28,31.65,17.56,18.48,27.83,37.41,39.6,33.07,35.53,33.82,34.89,20.2,0,0,0,
Maldives,MDV,World,59.94,51.44,41.83,39.96,20.98,18.87,38.32,38.03,32.43,35.95,55.82,56.16,41.08,40.08,30.68,28.17,26.9,19.66,20.84,14.76,
Mali,MLI,World,26.01,26.87,61.03,59.26,52.54,73.11,55.13,47.42,43.69,37.48,24.44,16.65,9232.77,19475.86,0,0,0,0,0,0,
Mauritania,MRT,World,1.68,3.07,12.37,8.07,6.96,7.57,8.09,13.43,22.64,21.76,13.72,16.22,16.44,16.39,17.6,19.12,26.12,42.35,0,0,
Mauritius,MUS,World,48.95,37.61,37.13,32.11,27.4,31.48,32.81,28.24,28.48,28.17,30.72,41.35,47.56,56.3,56.55,59.57,58.79,58.24,44.16,37.67,
Mexico,MEX,World,30.57,33.96,34.41,34.79,38.39,39.87,38.61,42.43,38.58,35.74,35.96,33.01,32.68,30.32,29.3,29.64,32.28,34.54,34.35,35.97,
Moldova,MDA,World,22.24,26.92,29.57,39.63,44.9,39.84,36.36,37.67,47.27,45.46,36.86,28.83,35.48,40.23,41.11,41.92,47.8,43.19,46.01,51.26,
Mongolia,MNG,World,13.04,23.86,48.05,57.38,30.08,44.42,38.6,25.45,25.97,11.15,7.28,5.49,4.94,10.14,11.23,13.08,13.92,12.6,10.16,14.34,
Montenegro,MNE,World,0,0,0,53.01,29,24.3,12.35,7.11,7.43,7.91,9.8,10.22,12.64,14.01,14.87,18.1,20.59,20.99,23.36,18.26,
Morocco,MAR,World,96.74,100.71,115.18,118.85,107.85,95.14,86.71,67.29,50.52,47.67,46.76,50.98,52.49,50.99,48.26,47.78,54.54,54.27,49.74,52.45,
Mozambique,MOZ,World,19.37,18.03,24.72,26.82,26.08,27.59,20.17,19.26,14.97,11.58,9.35,6.79,4.78,7.31,6.23,7.18,6.95,6.03,4.57,5.44,
Myanmar,MMR,World,8.89,10.9,16.6,38.45,41.64,55.44,57.35,64.81,63.23,86.39,44.86,45,48.35,48.35,52.61,52.07,57.21,65.47,65.26,76.79,
Nepal,NPL,World,43.63,47.18,56.88,55.74,66.49,73.35,77.6,94.94,113.11,132.03,151.56,191.78,197.94,184.87,146.6,129.02,140.22,104.1,96.52,119.75,
Nicaragua,NIC,World,13.11,14.52,22,26.82,24.18,26.56,25.64,23.84,20.61,19.43,20.76,21.65,20.07,21.67,17.39,17.61,23.34,27.75,29.56,35.92,
Niger,NER,World,12.65,12.78,48.76,54.37,74.36,52.49,49.57,30.41,56.87,58.85,63.99,46.62,49.75,40.52,0,0,0,0,0,0,
Nigeria,NGA,World,36.93,84.03,241.82,263.46,259.57,186.31,110.95,95.64,111.58,100.57,73.37,62.82,62.27,60.8,61.68,48.34,43.05,43.33,35.71,32.64,
North Macedonia,MKD,World,35.14,45.01,57.37,54.43,49.11,43.98,44.51,44.74,44.89,43.27,44.29,37.49,37.4,33.24,38.14,41.09,40.54,37.98,35.4,39.76,
Pakistan,PAK,World,28.74,31.66,33.97,36.83,17.74,24.16,27.11,27.8,21.57,12.97,22.21,29.16,29.32,19.81,11.69,14.94,15.46,17.43,7.77,10.52,
Papua New Guinea,PNG,World,37.3,40.02,81.36,136.3,138.34,147.37,51.65,34.35,26.81,13.08,11.28,8.52,8.6,10.07,12.48,12.32,14.88,16.44,20.31,25.18,
Paraguay,PRY,World,15.83,15.62,17.8,22.97,22.83,27.48,25.84,31.04,30.08,35.61,40.45,34.33,39.93,46.21,44.79,43.73,44.38,43.5,38.41,37.84,
